,Severity,Day of week,Month,Season,Rush hour,Speed limit,First road class,Second road class,Road type,Urban/rural,Crossing facilities,Light conditions,Weather conditions,Road surface
Severity,1.0,0.029546540017746054,0.01213520843003104,0.009892854124773087,0.0339368356850605,0.07697736612958146,0.02944363198023899,0.05861357816851515,0.04067772441276386,0.06206196039987079,0.019723225287065094,0.05891692466627043,0.0236363902271301,0.013057618769877025
Day of week,0.029546540017746054,1.0,0.013365555203511098,0.011963948163013926,0.1508252610502072,0.01811157351927236,0.008692511033752886,0.015052221394156018,0.0073251737560327945,0.030741949475923878,0.009240594655597241,0.03804940612079481,0.011438789775932845,0.011650242341910458
Month,0.01213520843003104,0.013365555203511098,1.0,0.9999973404149218,0.03504293982029066,0.010307471665214318,0.007953019523810813,0.006749569460806301,0.008605142994350683,0.015981948632827776,0.005913041486222679,0.15612441418278658,0.08133862746274413,0.172110777781408
Season,0.009892854124773087,0.011963948163013926,0.9999973404149218,1.0,0.02385389828627958,0.01318516809430213,0.007281419253545946,0.008243404453964565,0.00871647340704518,0.013372202545948576,0.006684586486984215,0.15869788671632493,0.1148186774416393,0.19791345475116748
Rush hour,0.0339368356850605,0.1508252610502072,0.03504293982029066,0.02385389828627958,1.0,0.011596842849016643,0.006957445047333388,0.023153513394731127,0.021484812098667913,0.0042138445745770045,0.019238572300574543,0.13432023106158547,0.016360703825663177,0.03544319409306837
Speed limit,0.07697736612958146,0.01811157351927236,0.010307471665214318,0.01318516809430213,0.011596842849016643,1.0,0.3331270188038112,0.15223539867724573,0.29458194766606327,0.497417662986358,0.11299689841807242,0.18158716758852517,0.03661486815550892,0.06721665247712913
First road class,0.02944363198023899,0.008692511033752886,0.007953019523810813,0.007281419253545946,0.006957445047333388,0.3331270188038112,1.0,0.18375462027440131,0.24548393588546,0.19374525778484078,0.08723517536225747,0.04724968848828432,0.021667412430065675,0.023478272799408437
Second road class,0.05861357816851515,0.015052221394156018,0.006749569460806301,0.008243404453964565,0.023153513394731127,0.15223539867724573,0.18375462027440131,1.0,0.1845702375321688,0.2165765044664647,0.14199696010528723,0.0980728713539971,0.020140632516840683,0.04146227432722261
Road type,0.04067772441276386,0.0073251737560327945,0.008605142994350683,0.00871647340704518,0.021484812098667913,0.29458194766606327,0.24548393588546,0.1845702375321688,1.0,0.10566139506195367,0.059064521044776164,0.04201810141647419,0.03656464453269127,0.01746762036491403
Urban/rural,0.06206196039987079,0.030741949475923878,0.015981948632827776,0.013372202545948576,0.0042138445745770045,0.497417662986358,0.19374525778484078,0.2165765044664647,0.10566139506195367,1.0,0.1913447120456114,0.23330830588176332,0.05850476601600596,0.09282914003571345
Crossing facilities,0.019723225287065094,0.009240594655597241,0.005913041486222679,0.006684586486984215,0.019238572300574543,0.11299689841807242,0.08723517536225747,0.14199696010528723,0.059064521044776164,0.1913447120456114,1.0,0.0654749103462303,0.015202672169115613,0.02601946990577795
Light conditions,0.05891692466627043,0.03804940612079481,0.15612441418278658,0.15869788671632493,0.13432023106158547,0.18158716758852517,0.04724968848828432,0.0980728713539971,0.04201810141647419,0.23330830588176332,0.0654749103462303,1.0,0.10640632433461586,0.11052415941017521
Weather conditions,0.0236363902271301,0.011438789775932845,0.08133862746274413,0.1148186774416393,0.016360703825663177,0.03661486815550892,0.021667412430065675,0.020140632516840683,0.03656464453269127,0.05850476601600596,0.015202672169115613,0.10640632433461586,1.0,0.43641325489808896
Road surface,0.013057618769877025,0.011650242341910458,0.172110777781408,0.19791345475116748,0.03544319409306837,0.06721665247712913,0.023478272799408437,0.04146227432722261,0.01746762036491403,0.09282914003571345,0.02601946990577795,0.11052415941017521,0.43641325489808896,1.0
