feature,level,count,percent_of_cleaned_rows,fatal_count,fatal_share_percent,serious_count,serious_share_percent,slight_count,slight_share_percent
Day of week,Friday,241579,16.435678591960375,2888,1.1954681491354795,31850,13.184092988215035,206841,85.62043886264948
Day of week,Monday,208835,14.207960703339467,2487,1.1908923312663107,26885,12.873799889865204,179463,85.93530777886849
Day of week,Saturday,196925,13.397671183015897,3302,1.676780500190428,29450,14.954932080741399,164173,83.36828741906818
Day of week,Sunday,161300,10.973946232425869,3019,1.871667699938004,25891,16.051456912585245,132390,82.07687538747676
Day of week,Thursday,221041,15.038388401498118,2511,1.135988346053447,28848,13.050972444026222,189682,85.81303920992033
Day of week,Tuesday,219008,14.900074497651113,2447,1.117310783167738,27948,12.761177673874927,188613,86.12151154295734
Day of week,Wednesday,221157,15.046280390109162,2385,1.078419403410247,28022,12.670636697007104,190750,86.25094389958265
Month,Apr,112679,7.6660464198605975,1487,1.3196780234116385,15731,13.960897771545719,95461,84.71942420504264
Month,Aug,120964,8.229711296089043,1728,1.4285241890149136,17193,14.213319665354982,102043,84.3581561456301
Month,Dec,120419,8.192632556494052,1694,1.406754748004883,15355,12.751310009217814,103370,85.8419352427773
Month,Feb,107015,7.2806996656109995,1334,1.2465542213708358,13666,12.770172405737512,92015,85.98327337289166
Month,Jan,116416,7.920290915028455,1528,1.3125343595382077,14919,12.815248763056625,99969,85.87221687740517
Month,Jul,129215,8.791063003241838,1592,1.2320551019618466,18297,14.160120729017528,109326,84.60782416902063
Month,Jun,124898,8.49735856501876,1567,1.2546237729987668,17590,14.083492129577735,105741,84.6618840974235
Month,Mar,118043,8.030982858736806,1463,1.2393788704116295,15537,13.162152774836288,101043,85.59846835475207
Month,May,124797,8.490487092176386,1560,1.25003004879925,17330,13.886551760058335,105907,84.86341819114242
Month,Nov,135623,9.227027339617443,1706,1.2578987339905474,17536,12.92996025747845,116381,85.812141008531
Month,Oct,133073,9.05353965894363,1685,1.2662222990388734,17882,13.437737181847556,113506,85.29604051911357
Month,Sep,126703,8.620160629181989,1695,1.3377741647790502,17858,14.09437819151875,107150,84.5678476437022
Season,Fall,395399,26.90072762774306,5086,1.2862956153151628,53276,13.473984506789344,337037,85.2397198778955
Season,Spring,355519,24.18751637077379,4510,1.268567924639752,48598,13.669592905020547,302411,85.06183917033971
Season,Summer,375077,25.518132864349642,4887,1.302932464533949,53080,14.151760838441174,317110,84.54530669702488
Season,Winter,343850,23.393623137133506,4556,1.3249963646939071,43940,12.778827977315691,295354,85.8961756579904
Rush hour,No,877008,59.666699549952554,13268,1.5128710342437013,124478,14.193485122142558,739262,84.29364384361374
Rush hour,Yes,592837,40.33330045004745,5771,0.9734547607521123,74416,12.552522868849278,512650,86.4740223703986
Speed limit,10,14,0.0009524813840915199,2,14.285714285714285,2,14.285714285714285,10,71.42857142857143
Speed limit,15,10,0.0006803438457796571,0,0.0,0,0.0,10,100.0
Speed limit,20,16428,1.1176688698468207,95,0.578280983686389,2340,14.243973703433163,13993,85.17774531288045
Speed limit,30,942830,64.1448588116434,6272,0.6652312718093399,116657,12.373068315603025,819901,86.96170041258765
Speed limit,40,120270,8.182495433191935,1760,1.4633740749979214,16279,13.53537873118816,102231,85.00124719381392
Speed limit,50,47830,3.2540846143640993,1027,2.1471879573489443,7044,14.727158687016518,39759,83.12565335563454
Speed limit,60,234895,15.980936765441253,7379,3.141403605866451,43713,18.609591519615147,183803,78.2490048745184
Speed limit,70,107568,7.3183226802826145,2504,2.327829837869998,12859,11.954298676186227,92205,85.71787148594377
First road class,A,667619,45.42104779755689,10639,1.5935735801407689,90683,13.583046617906321,566297,84.82337980195291
First road class,A(M),3913,0.2662185468535798,82,2.0955788397648862,457,11.679018655762842,3374,86.22540250447227
First road class,B,187487,12.755562661369055,2696,1.4379663656680197,27578,14.709286510531397,157213,83.85274712380058
First road class,C,130924,8.907333766485582,1574,1.2022241911337876,17922,13.688857657877854,111428,85.10891815098836
First road class,Motorway,56663,3.8550323333412706,993,1.752466336057039,5644,9.960644512291971,50026,88.286889151651
First road class,Unclassified,423239,28.79480489439363,3055,0.7218143885606005,56610,13.375421452181865,363574,85.90276415925754
Second road class,A,145487,9.898118509094497,788,0.5416291489961302,13806,9.48950765360479,130893,89.96886319739909
Second road class,A(M),1111,0.0755862012661199,10,0.9000900090009001,87,7.830783078307831,1014,91.26912691269126
Second road class,B,57463,3.9094598410036427,435,0.7570088578737622,6746,11.739728172911265,50282,87.50326296921497
Second road class,C,68092,4.632597314682841,620,0.910532808553134,8307,12.199671033307878,59165,86.88979615813899
Second road class,Motorway,9914,0.6744928887059519,86,0.8674601573532379,846,8.533387129312084,8982,90.59915271333468
Second road class,No second road,604283,41.11202201592685,12314,2.037786930957846,94993,15.719952406405607,496976,82.24226066263654
Second road class,Unclassified,583495,39.6977232293201,4786,0.8202298220207541,74109,12.700880041816982,504600,86.47889013616226
Road type,Dual carriageway,216872,14.754753052192578,3812,1.7577188387620346,25938,11.960050167840938,187122,86.28223099339702
Road type,One way street,30330,2.0634828842496997,196,0.6462248598747115,3800,12.528849324101548,26334,86.82492581602374
Road type,Roundabout,98506,6.701795087237089,301,0.30556514324000567,8671,8.802509491807605,89534,90.89192536495239
Road type,Single carriageway,1100559,74.87585425674136,14545,1.321601113615899,158262,14.380146816299716,927752,84.29825207008439
Road type,Slip road,15357,1.0448040439638193,125,0.8139610601028847,1354,8.816826203034447,13878,90.36921273686266
Road type,Unknown,8221,0.559310675615456,60,0.7298382191947452,869,10.570490208003893,7292,88.69967157280136
Urban/rural,Rural,524051,35.6534872724675,12332,2.353206081087528,83432,15.920587881713802,428287,81.72620603719866
Urban/rural,Unallocated,131,0.008912504379713507,0,0.0,17,12.977099236641221,114,87.02290076335878
Urban/rural,Urban,945663,64.33760022315278,6707,0.7092378574608502,115445,12.207837252805703,823511,87.08292488973345
Crossing facilities,Central refuge,26847,1.8265191227646453,393,1.463850709576489,4391,16.355644951018736,22063,82.18050433940478
Crossing facilities,Footbridge or subway,4224,0.28737724045732715,73,1.7282196969696968,515,12.192234848484848,3636,86.07954545454545
Crossing facilities,No physical crossing within 50 meters,1225376,83.3677020366093,16950,1.3832488966651868,166691,13.603253205546705,1041735,85.0134978977881
Crossing facilities,Pedestrian phase at traffic signal junction,97164,6.61049294313346,639,0.6576509818451278,11361,11.692602198345066,85164,87.6497468198098
Crossing facilities,Zebra crossing,38940,2.6492589354659843,233,0.598356445814073,4842,12.434514637904469,33865,86.96712891628145
Crossing facilities,non-junction pedestrian crossing,77294,5.258649721569282,751,0.9716148730819986,11094,14.352989882785211,65449,84.67539524413279
Light conditions,Darkeness: No street lighting,81607,5.552082022254047,3556,4.3574693347384414,15754,19.304716507162375,62297,76.33781415809918
Light conditions,Darkness: Street lighting unknown,15599,1.061268365031687,187,1.1987947945381114,1988,12.744406692736716,13424,86.05679851272518
Light conditions,Darkness: Street lights present and lit,288671,19.63955383050594,3961,1.37215030259361,42813,14.831070665220961,241897,83.79677903218543
Light conditions,Darkness: Street lights present but unlit,6756,0.4596403022087363,126,1.8650088809946712,993,14.698046181172291,5637,83.43694493783303
Light conditions,Daylight: Street light present,1077212,73.2874554799996,11209,1.0405565478290253,137346,12.750136463388822,928657,86.20930698878215
Weather conditions,Fine with high winds,18098,1.2312862920920233,333,1.8399823184882307,2651,14.648027406343243,15114,83.51199027516853
Weather conditions,Fine without high winds,1176563,80.04673962220507,15809,1.3436594555497665,164184,13.954543870578966,996570,84.70179667387127
Weather conditions,Fog or mist,8053,0.5478808990063578,172,2.1358499937911337,1134,14.081708679995034,6747,83.78244132621383
Weather conditions,Other,32910,2.2390115964608515,290,0.881191127316925,3585,10.893345487693711,29035,88.22546338498937
Weather conditions,Raining with high winds,20357,1.3849759668536477,275,1.3508866728889326,2697,13.248514024659821,17385,85.40059930245124
Weather conditions,Raining without high winds,172929,11.765118090683032,1816,1.0501419657778626,20735,11.990470077314967,150378,86.95938795690718
Weather conditions,Snowing with high winds,1933,0.13151046538920771,13,0.6725297465080186,222,11.48473874806001,1698,87.84273150543197
Weather conditions,Snowing without high winds,11141,0.7579710785831159,89,0.7988510905663765,1064,9.55030966699578,9988,89.65083924243784
Weather conditions,Unknown,27861,1.8955059887267023,242,0.8685976813466852,2622,9.411004630128136,24997,89.72039768852518
Road surface,Dry,1011428,68.8118815249227,12751,1.260692802651301,139806,13.822634928042332,858871,84.91667226930637
Road surface,Flood (Over 3cm of water),2069,0.14076314169181103,41,1.9816336394393428,279,13.48477525374577,1749,84.53359110681488
Road surface,Frost/Ice,30653,2.0854579904683828,317,1.0341565262780152,3522,11.489903108994227,26814,87.47594036472776
Road surface,Normal,1937,0.1317826029275196,12,0.619514713474445,199,10.273618998451212,1726,89.10686628807434
Road surface,Snow,10343,0.7036796396898992,74,0.715459731219182,1015,9.813400367398241,9254,89.47113990138259
Road surface,Wet/Damp,413415,28.12643510029969,5844,1.4135916693879031,54073,13.079593144902821,353498,85.50681518570927
