stage,alpha,macro_f1_mean,macro_f1_std,fatal_precision_mean,fatal_recall_mean,fatal_f1_mean,serious_f1_mean,slight_f1_mean
coarse,0.0,0.3066370945955987,4.7750088507818474e-05,0.4444444444444444,0.00012860082304526747,0.0002571024648880813,8.556725003404971e-05,0.9195686140718741
coarse,0.2,0.3192936309711238,0.0014849348881564547,0.10267449274916844,0.023728204108239268,0.038525721083757035,0.0004153274517139244,0.9189398443779004
coarse,0.4,0.3362645705495863,0.0007776184766710946,0.0619313797361761,0.18358958467814612,0.09261811548910319,0.00700468352035404,0.9091709126393018
coarse,0.6,0.3339287360872277,0.00037878772527419926,0.04879080303869263,0.3608770218838256,0.08595962738120351,0.02835956303555393,0.8874670178449255
coarse,0.8,0.3391114839358799,0.0007212857930099778,0.04028179948300175,0.4821555130574869,0.07435150841303854,0.0955635487734976,0.8474193946211033
coarse,1.0,0.3253858148579392,0.0009704370494176735,0.03505528459373933,0.5512828843941375,0.06591864701498291,0.19965357640128653,0.7105852211575482
fine,0.65,0.3340711068660303,0.0004773885584599801,0.0461159193703157,0.39444420624882387,0.08257728645922631,0.039510662671872775,0.8801253714669919
fine,0.7,0.33489821084506266,0.0004219124883885514,0.04401607353406367,0.4278178690781591,0.07981928689667257,0.0534736381620452,0.87140170747647
fine,0.75,0.3365689881572882,0.0002711538088674391,0.0419187693554049,0.45553335621996255,0.07677229845363887,0.07220980181820726,0.8607248642000181
fine,0.8,0.3391114839358799,0.0007212857930099778,0.04028179948300175,0.4821555130574869,0.07435150841303854,0.0955635487734976,0.8474193946211033
fine,0.85,0.34176396718543406,0.0004311873707184692,0.03891712683283561,0.5047907218240385,0.0722627354175487,0.12390262685683677,0.8291265392819166
fine,0.9,0.3423852379963226,0.0007457561659950807,0.0375711008097235,0.5228603284400014,0.07010445923122192,0.15360433384995856,0.8034469209077874
fine,0.95,0.3381190446608575,0.0007032879184373812,0.03617876823568508,0.5373930402415622,0.06779317533562255,0.18006005449919726,0.7665039041477527
